State,Per_Capita_Income,Population
Andhra Pradesh,182914,53903393
Arunachal Pradesh,161279,1570458
Assam,119155,35607039
Bihar,54194,13192950
Chhattisgarh,112187,29436231
Goa,492644,1542750
Gujarat,215233,63872399
Haryana,264760,28986345
Himachal Pradesh,221389,7307130
Jharkhand,85850,39598976
Karnataka,239420,67562686
Kerala,227709,35699443
Madhya Pradesh,121965,85003438
Maharashtra,227421,123144223
Manipur,120580,3141311
Meghalaya,111186,3366710
Mizoram,190198,1239244
Nagaland,133475,2249695
Orissa,120645,46356334
Punjab,169829,30141373
Rajasthan,134654,81032689
Sikkim,408579,690251
Tamil Nadu,229837,77841267
Telangana,263390,39362732
Tripura,125208,4199026
Uttar Pradesh,87723,237882725
Uttaranchal,212166,11250858
West Bengal,126399,99609303
Delhi,401982,19814000
Jammu and Kashmir,135525,13606320
Ladakh,257268,290492
